N,F,P,Sample,n,f,p,SE,Z,LB,UB,Accept/Reject
265,164,0.6188679245283019,3,6,3,0.5,0.1982718741687509,2.58,-0.011541435355377327,1.0115414353553773,Accept
265,164,0.6188679245283019,6,15,8,0.5333333333333333,0.1253981436647114,2.58,0.20980612267837795,0.8568605439882887,Accept
265,164,0.6188679245283019,24,8,4,0.5,0.1717084798860899,2.58,0.05699212189388808,0.943007878106112,Accept
265,164,0.6188679245283019,7,12,5,0.4166666666666667,0.1401993867432896,2.58,0.05495224886897948,0.778381084464354,Accept
265,164,0.6188679245283019,19,7,5,0.7142857142857143,0.18356408632500373,2.58,0.24069037156720463,1.187881057004224,Accept
265,164,0.6188679245283019,1,16,10,0.625,0.12141623051468807,2.58,0.31174612527210477,0.9382538747278952,Accept
265,164,0.6188679245283019,8,4,3,0.75,0.24283246102937614,2.58,0.12349225054420954,1.3765077494557905,Accept
265,164,0.6188679245283019,18,5,3,0.6,0.21719595600210145,2.58,0.03963443351457818,1.1603655664854218,Accept
265,164,0.6188679245283019,17,12,4,0.3333333333333333,0.1401993867432896,2.58,-0.02838108446435389,0.6950477511310205,Accept
265,164,0.6188679245283019,2,14,9,0.6428571428571429,0.12979941022272293,2.58,0.30797466448251776,0.977739621231768,Accept
265,164,0.6188679245283019,21,13,11,0.8461538461538461,0.13469921378285024,2.58,0.4986298745940925,1.1936778177135998,Accept
265,164,0.6188679245283019,22,8,4,0.5,0.1717084798860899,2.58,0.05699212189388808,0.943007878106112,Accept
265,164,0.6188679245283019,4,8,6,0.75,0.1717084798860899,2.58,0.3069921218938881,1.193007878106112,Accept
265,164,0.6188679245283019,5,8,3,0.375,0.1717084798860899,2.58,-0.06800787810611192,0.818007878106112,Accept
265,164,0.6188679245283019,9,4,1,0.25,0.24283246102937614,2.58,-0.37650774945579046,0.8765077494557905,Accept
265,164,0.6188679245283019,10,4,2,0.5,0.24283246102937614,2.58,-0.12650774945579046,1.1265077494557905,Accept
265,164,0.6188679245283019,11,14,10,0.7142857142857143,0.12979941022272293,2.58,0.37940323591108915,1.0491681926603396,Accept
265,164,0.6188679245283019,25,8,5,0.625,0.1717084798860899,2.58,0.18199212189388808,1.068007878106112,Accept
265,164,0.6188679245283019,12,14,9,0.6428571428571429,0.12979941022272293,2.58,0.30797466448251776,0.977739621231768,Accept
265,164,0.6188679245283019,13,9,7,0.7777777777777778,0.16188830735291743,2.58,0.36010594480725083,1.1954496107483048,Accept
265,164,0.6188679245283019,14,18,14,0.7777777777777778,0.11447231992405993,2.58,0.48243919237370314,1.0731163631818523,Accept
265,164,0.6188679245283019,15,15,12,0.8,0.1253981436647114,2.58,0.47647278934504467,1.1235272106549554,Accept
265,164,0.6188679245283019,16,11,7,0.6363636363636364,0.14643348366418918,2.58,0.25856524851002827,1.0141620242172444,Accept
265,164,0.6188679245283019,23,16,13,0.8125,0.12141623051468807,2.58,0.49924612527210477,1.1257538747278952,Accept
265,164,0.6188679245283019,20,16,6,0.375,0.12141623051468807,2.58,0.06174612527210477,0.6882538747278952,Accept
