N,F,P,Sample,n,f,p,SE,Z,LB,UB,Accept/Reject
1655,363,0.21933534743202418,11,199,42,0.21105527638190955,0.02933323982768404,1.96,0.15356212631964883,0.26854842644417026,Accept
1655,363,0.21933534743202418,9,103,12,0.11650485436893204,0.04077255797082691,1.96,0.03659064074611129,0.1964190679917528,Reject
1655,363,0.21933534743202418,16,213,54,0.2535211267605634,0.02835285321516748,1.96,0.19794953445883512,0.30909271906229163,Accept
1655,363,0.21933534743202418,12,190,41,0.21578947368421053,0.030019936603504136,1.96,0.1569503979413424,0.27462854942707865,Accept
1655,363,0.21933534743202418,15,199,40,0.20100502512562815,0.02933323982768404,1.96,0.14351187506336743,0.25849817518788887,Accept
1655,363,0.21933534743202418,14,227,60,0.2643171806167401,0.02746462304379716,1.96,0.21048651945089766,0.31814784178258254,Accept
1655,363,0.21933534743202418,10,210,47,0.22380952380952382,0.028554655428868623,1.96,0.16784239916894134,0.2797766484501063,Accept
1655,363,0.21933534743202418,13,160,36,0.225,0.032713467486543045,1.96,0.16088160372637564,0.28911839627362435,Accept
1655,363,0.21933534743202418,17,154,31,0.2012987012987013,0.033344653653405484,1.96,0.13594318013802656,0.2666542224593761,Accept
